app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related_kb,path,matched_library_paths
Google Chrome,com.google.Chrome,1.3 GiB,1406212,3.2 GiB,3397012,12.8 GiB,13380816,16777828,/Applications/Google Chrome.app,/Users/yaniv/Library/Application Support/Google/Chrome; /Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Caches/Google/Chrome; /Users/yaniv/Library/Caches/Google/Chrome Canary; /Users/yaniv/Library/Caches/chrome_crashpad_handler; +2 more
Google Chrome Canary,com.google.Chrome.canary,2.0 GiB,2091784,19.2 MiB,19668,4.6 GiB,4801208,4820876,/Applications/Google Chrome Canary.app,/Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Caches/Google/Chrome Canary
Arc,company.thebrowser.Browser,824.3 MiB,844056,1.7 GiB,1780288,2.1 GiB,2231632,4011920,/Applications/Arc.app,/Users/yaniv/Library/Application Support/Arc; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/Comet/BrowserMetrics; /Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics; /Users/yaniv/Library/Application Support/com.openai.atlas/browser-data; +21 more
Rancher Desktop,io.rancherdesktop.app,1.4 GiB,1510808,1.4 GiB,1430984,2.3 GiB,2404620,3835604,/Applications/Rancher Desktop.app,/Users/yaniv/Library/Application Support/Rancher Desktop; /Users/yaniv/Library/Application Support/Rancher Desktop/Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/Code Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Rancher Desktop/DawnWebGPUCache; +17 more
Microsoft Edge,com.microsoft.edgemac,1.0 GiB,1091760,407.8 MiB,417608,2.8 GiB,2987352,3404960,/Applications/Microsoft Edge.app,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater; /Users/yaniv/Library/Application Support/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft Edge/Ad Blocking; /Users/yaniv/Library/Application Support/Microsoft Edge/AmountExtractionHeuristicRegexes; /Users/yaniv/Library/Application Support/Microsoft Edge/AutoLaunchProtocolsComponent; +55 more
Brave Browser,com.brave.Browser,385.2 MiB,394484,316.4 MiB,324028,1.6 GiB,1726868,2050896,/Applications/Brave Browser.app,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/Comet/BrowserMetrics; /Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics; /Users/yaniv/Library/Application Support/com.openai.atlas/browser-data; /Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser; +19 more
Code,com.microsoft.VSCode,624.8 MiB,639764,1.3 GiB,1331392,697.5 MiB,714212,2045604,/Applications/Visual Studio Code.app,/Users/yaniv/Library/Application Support/Code; /Users/yaniv/Library/Caches/com.microsoft.VSCode; /Users/yaniv/Library/Caches/com.microsoft.VSCode/fsCachedData; /Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt; /Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt/update.Ji1uvg1; +6 more
Code - Insiders,com.microsoft.VSCodeInsiders,622.2 MiB,637108,673.9 MiB,690104,1.1 GiB,1128480,1818584,/Applications/Visual Studio Code - Insiders.app,/Users/yaniv/Library/Application Support/Code - Insiders; /Users/yaniv/Library/Application Support/Code - Insiders/Backups; /Users/yaniv/Library/Application Support/Code - Insiders/Cache; /Users/yaniv/Library/Application Support/Code - Insiders/CachedConfigurations; /Users/yaniv/Library/Application Support/Code - Insiders/CachedData; +20 more
Telegram,ru.keepcoder.Telegram,298.6 MiB,305792,0 B,0,1.0 GiB,1050660,1050660,/Applications/Telegram.app,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Application Support; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Caches; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram.TelegramShare; +3 more
Firefox,org.mozilla.firefox,477.2 MiB,488616,788.6 MiB,807568,152.2 MiB,155872,963440,/Applications/Firefox.app,/Users/yaniv/Library/Application Support/Firefox; /Users/yaniv/Library/Application Support/Firefox/Crash Reports; /Users/yaniv/Library/Application Support/Firefox/Pending Pings; /Users/yaniv/Library/Application Support/Firefox/Profile Groups; /Users/yaniv/Library/Application Support/Firefox/Profiles; +4 more
