kind,size,size_kb,path
support/container,14.2 GiB,14849788,/Users/yaniv/Library/Application Support/Google
support/container,8.2 GiB,8579580,/Users/yaniv/Library/Application Support/Google/Chrome
support/container,4.6 GiB,4801208,/Users/yaniv/Library/Application Support/Google/Chrome Canary
cache-like,3.2 GiB,3395556,/Users/yaniv/Library/Caches/Google
cache-like,3.2 GiB,3375888,/Users/yaniv/Library/Caches/Google/Chrome
support/container,2.3 GiB,2397352,/Users/yaniv/Library/Application Support/rancher-desktop
support/container,2.3 GiB,2383464,/Users/yaniv/Library/Application Support/rancher-desktop/lima
support/container,1.5 GiB,1579396,/Users/yaniv/Library/Application Support/BraveSoftware
support/container,1.5 GiB,1579396,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser
support/container,1.5 GiB,1579224,/Users/yaniv/Library/Application Support/Microsoft Edge
support/container,1.5 GiB,1533480,/Users/yaniv/Library/Application Support/com.apple.wallpaper
support/container,1.5 GiB,1533476,/Users/yaniv/Library/Application Support/com.apple.wallpaper/aerials
support/container,1.4 GiB,1468996,/Users/yaniv/Library/Application Support/Google/GoogleUpdater
cache-like,1.4 GiB,1456260,/Users/yaniv/Library/Caches/Arc
cache-like,1.4 GiB,1451620,/Users/yaniv/Library/Caches/Arc/User Data
support/container,1.3 GiB,1408128,/Users/yaniv/Library/Application Support/Microsoft
support/container,1.3 GiB,1408124,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater
cache-like,1.2 GiB,1242420,/Users/yaniv/Library/Caches/rancher-desktop-updater
support/container,1.1 GiB,1128480,/Users/yaniv/Library/Application Support/Code - Insiders
support/container,1.0 GiB,1071516,/Users/yaniv/Library/Application Support/Microsoft Edge/Default
support/container,913.2 MiB,935160,/Users/yaniv/Library/Group Containers/6N38VWS5BX.ru.keepcoder.Telegram
support/container,898.5 MiB,920104,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs
cache-like,792.0 MiB,811016,/Users/yaniv/Library/Caches/com.openai.codex
cache-like,791.2 MiB,810152,/Users/yaniv/Library/Caches/com.openai.codex/org.sparkle-project.Sparkle
support/container,781.7 MiB,800472,/Users/yaniv/Library/Application Support/Comet
support/container,759.7 MiB,777976,/Users/yaniv/Library/Group Containers/UBF8T346G9.Office
support/container,697.5 MiB,714212,/Users/yaniv/Library/Application Support/Code
cache-like,671.7 MiB,687804,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt
cache-like,671.7 MiB,687788,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt/update.yCeWixl
cache-like,623.9 MiB,638924,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt
cache-like,623.9 MiB,638864,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt/update.Ji1uvg1
cache-like,606.7 MiB,621212,/Users/yaniv/Library/Caches/rancher-desktop-updater/pending
support/container,606.1 MiB,620688,/Users/yaniv/Library/Group Containers/group.net.whatsapp.WhatsApp.shared
cache-like,577.4 MiB,591248,/Users/yaniv/Library/Caches/Homebrew
support/container,566.8 MiB,580436,/Users/yaniv/Library/Application Support/Comet/Default
cache-like,504.3 MiB,516404,/Users/yaniv/Library/Caches/Homebrew/downloads
support/container,492.9 MiB,504764,/Users/yaniv/Library/Application Support/Arc
support/container,485.4 MiB,497048,/Users/yaniv/Library/Application Support/Arc/User Data
cache-like,483.4 MiB,495024,/Users/yaniv/Library/Caches/SiriTTS
support/container,477.9 MiB,489336,/Users/yaniv/Library/Containers/com.apple.mediaanalysisd
cache-like,398.8 MiB,408340,/Users/yaniv/Library/Caches/Microsoft Edge
cache-like,398.8 MiB,408340,/Users/yaniv/Library/Caches/Microsoft Edge/Default
cache-like,394.3 MiB,403784,/Users/yaniv/Library/Caches/Firefox
cache-like,394.3 MiB,403784,/Users/yaniv/Library/Caches/Firefox/Profiles
support/container,372.2 MiB,381112,/Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs
support/container,331.1 MiB,338996,/Users/yaniv/Library/Application Support/zoom.us
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches/com.apple.callintelligenced
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches/com.apple.callintelligenced/com.apple.e5rt.e5bundlecache
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches/com.apple.textunderstandingd
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches/com.apple.textunderstandingd/com.apple.e5rt.e5bundlecache
cache-like,261.3 MiB,267600,/Users/yaniv/Library/Caches/SiriTTS/BNNSModels
support/container,219.0 MiB,224260,/Users/yaniv/Library/Containers/net.whatsapp.WhatsApp
support/container,198.2 MiB,202996,/Users/yaniv/Library/Containers/com.apple.geod
cache-like,193.5 MiB,198156,/Users/yaniv/Library/Caches/com.oracle.java.JavaAppletPlugin
cache-like,193.5 MiB,198156,/Users/yaniv/Library/Caches/com.oracle.java.JavaAppletPlugin/org.sparkle-project.Sparkle
cache-like,183.7 MiB,188108,/Users/yaniv/Library/Caches/rancher-desktop
cache-like,183.7 MiB,188096,/Users/yaniv/Library/Caches/rancher-desktop/k3s
support/container,176.7 MiB,180900,/Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache
support/container,176.4 MiB,180612,/Users/yaniv/Library/Application Support/com.operasoftware.Opera
support/container,169.1 MiB,173144,/Users/yaniv/Library/Application Support/zoom.us/asr
support/container,168.6 MiB,172644,/Users/yaniv/Library/Application Support/Microsoft Edge/ProvenanceData
support/container,162.0 MiB,165848,/Users/yaniv/Library/Application Support/zoom.us/data
support/container,158.5 MiB,162328,/Users/yaniv/Library/Application Support/Code/Cache
cache-like,157.5 MiB,161292,/Users/yaniv/Library/Caches/BraveSoftware
