app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related,total_related_kb,candidate_count,ambiguous_path_count,ambiguous_paths,path,matched_library_paths
Google Chrome,com.google.Chrome,1.3 GiB,1406212,3.6 GiB,3727244,7.8 GiB,8228948,11.4 GiB,11956192,2,0,,/Applications/Google Chrome.app,/Users/yaniv/Library/Application Support/Google/Chrome; /Users/yaniv/Library/Caches/Google/Chrome; /Users/yaniv/Library/Application Support/Google/Chrome/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome/extensions_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome/Default/GPUCache; /Users/yaniv/Library/Application Support/Google/Chrome/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Google/Chrome/GrShaderCache; /Users/yaniv/Library/Application Support/Google/Chrome/ShaderCache; +7 more
Rancher Desktop,io.rancherdesktop.app,1.4 GiB,1510808,401.7 MiB,411340,4.5 GiB,4767592,4.9 GiB,5178932,10,0,,/Applications/Rancher Desktop.app,/Users/yaniv/Library/Application Support/rancher-desktop; /Users/yaniv/Library/Application Support/Rancher-Desktop; /Users/yaniv/Library/Caches/rancher-desktop; /Users/yaniv/Library/Caches/Rancher-Desktop; /Users/yaniv/Library/Application Support/rancher-desktop/electron/Cache; /Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache; /Users/yaniv/Library/Application Support/rancher-desktop/electron/Code Cache; +18 more
Google Chrome Canary,com.google.Chrome.canary,2.0 GiB,2091784,148.1 MiB,151664,4.5 GiB,4669212,4.6 GiB,4820876,2,0,,/Applications/Google Chrome Canary.app,/Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/extensions_crx_cache; /Users/yaniv/Library/Caches/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GrShaderCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/ShaderCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/Default/DawnCache; +4 more
Microsoft Edge,com.microsoft.edgemac,1.0 GiB,1091760,922.4 MiB,944508,2.3 GiB,2455276,3.2 GiB,3399784,6,0,,/Applications/Microsoft Edge.app,/Users/yaniv/Library/Application Support/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater; /Users/yaniv/Library/Caches/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Microsoft Edge/Default/GPUCache; +9 more
Arc,company.thebrowser.Browser,824.3 MiB,844056,1.5 GiB,1533708,418.1 MiB,428152,1.9 GiB,1961860,6,0,,/Applications/Arc.app,/Users/yaniv/Library/Caches/Arc; /Users/yaniv/Library/Application Support/Arc; /Users/yaniv/Library/Application Support/Arc/User Data/component_crx_cache; /Users/yaniv/Library/Application Support/Arc/User Data/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Arc/User Data/GrShaderCache; /Users/yaniv/Library/Application Support/Arc/User Data/extensions_crx_cache; /Users/yaniv/Library/HTTPStorages/company.thebrowser.Browser; /Users/yaniv/Library/Application Support/Arc/User Data/ShaderCache; +6 more
Code - Insiders,com.microsoft.VSCodeInsiders,622.2 MiB,637108,1.6 GiB,1659284,155.6 MiB,159300,1.7 GiB,1818584,4,0,,/Applications/Visual Studio Code - Insiders.app,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs; /Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt; /Users/yaniv/Library/Application Support/Code - Insiders; /Users/yaniv/Library/Application Support/Code - Insiders/Cache; /Users/yaniv/Library/Application Support/Code - Insiders/CachedData; /Users/yaniv/Library/Application Support/Code - Insiders/GPUCache; /Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders; /Users/yaniv/Library/Application Support/Code - Insiders/CachedProfilesData; +9 more
Brave Browser,com.brave.Browser,385.2 MiB,394484,330.4 MiB,338348,1.3 GiB,1402588,1.7 GiB,1740936,4,0,,/Applications/Brave Browser.app,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/extensions_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/component_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GrShaderCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GraphiteDawnCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/GPUCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/ShaderCache; +11 more
Code,com.microsoft.VSCode,624.8 MiB,639764,1.2 GiB,1289696,68.7 MiB,70360,1.3 GiB,1360056,4,0,,/Applications/Visual Studio Code.app,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt; /Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs; /Users/yaniv/Library/Application Support/Code/Cache; /Users/yaniv/Library/Application Support/Code/CachedData; /Users/yaniv/Library/Application Support/Code; /Users/yaniv/Library/Application Support/Code/GPUCache; /Users/yaniv/Library/Caches/com.microsoft.VSCode; /Users/yaniv/Library/Application Support/Code/CachedProfilesData; +10 more
Firefox,org.mozilla.firefox,477.2 MiB,488616,788.7 MiB,807672,152.1 MiB,155768,940.9 MiB,963440,4,0,,/Applications/Firefox.app,/Users/yaniv/Library/Caches/Firefox; /Users/yaniv/Library/Caches/firefox; /Users/yaniv/Library/Application Support/firefox; /Users/yaniv/Library/Application Support/Firefox; /Users/yaniv/Library/Application Support/firefox/Crash Reports; /Users/yaniv/Library/Application Support/Firefox/Crash Reports
Comet,ai.perplexity.comet,0 B,0,286.7 MiB,293544,643.4 MiB,658892,930.1 MiB,952436,2,0,,/Applications/Comet.app,/Users/yaniv/Library/Application Support/Comet; /Users/yaniv/Library/Caches/Comet; /Users/yaniv/Library/Application Support/Comet/extensions_crx_cache; /Users/yaniv/Library/Application Support/Comet/component_crx_cache; /Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Comet/Crashpad; /Users/yaniv/Library/Application Support/Comet/ShaderCache; /Users/yaniv/Library/Application Support/Comet/GrShaderCache; +3 more
