kind,size,size_kb,root,depth,path,nested_under,rollup_parent
support/container,8.2 GiB,8588028,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/Chrome,/Users/yaniv/Library/Application Support/Google,false
support/container,4.6 GiB,4801208,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/Chrome Canary,/Users/yaniv/Library/Application Support/Google,false
cache-like,3.2 GiB,3378516,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Google/Chrome,/Users/yaniv/Library/Caches/Google,false
support/container,2.3 GiB,2383464,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/rancher-desktop/lima,/Users/yaniv/Library/Application Support/rancher-desktop,false
support/container,1.5 GiB,1579396,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser,/Users/yaniv/Library/Application Support/BraveSoftware,false
support/container,1.5 GiB,1533476,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.apple.wallpaper/aerials,/Users/yaniv/Library/Application Support/com.apple.wallpaper,false
support/container,1.4 GiB,1469000,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/GoogleUpdater,/Users/yaniv/Library/Application Support/Google,false
cache-like,1.4 GiB,1451620,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Arc/User Data,/Users/yaniv/Library/Caches/Arc,false
support/container,1.3 GiB,1408196,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater,/Users/yaniv/Library/Application Support/Microsoft,false
cache-like,1.2 GiB,1242420,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/rancher-desktop-updater,,false
support/container,1.0 GiB,1071516,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/Default,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,913.4 MiB,935352,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/6N38VWS5BX.ru.keepcoder.Telegram,,false
cache-like,898.5 MiB,920104,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs,/Users/yaniv/Library/Application Support/Code - Insiders,false
cache-like,791.2 MiB,810152,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.openai.codex/org.sparkle-project.Sparkle,/Users/yaniv/Library/Caches/com.openai.codex,false
support/container,759.7 MiB,777976,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/UBF8T346G9.Office,,false
cache-like,671.7 MiB,687788,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt/update.yCeWixl,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt,false
cache-like,623.9 MiB,638864,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt/update.Ji1uvg1,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt,false
support/container,606.1 MiB,620688,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/group.net.whatsapp.WhatsApp.shared,,false
support/container,566.8 MiB,580436,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/Default,/Users/yaniv/Library/Application Support/Comet,false
cache-like,503.9 MiB,516044,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Homebrew/downloads,/Users/yaniv/Library/Caches/Homebrew,false
support/container,485.4 MiB,497048,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Arc/User Data,/Users/yaniv/Library/Application Support/Arc,false
cache-like,483.4 MiB,495024,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/SiriTTS,,false
support/container,477.9 MiB,489336,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.mediaanalysisd,,false
cache-like,398.8 MiB,408340,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Microsoft Edge/Default,/Users/yaniv/Library/Caches/Microsoft Edge,false
cache-like,394.3 MiB,403784,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Firefox/Profiles,/Users/yaniv/Library/Caches/Firefox,false
cache-like,373.0 MiB,381996,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs,/Users/yaniv/Library/Application Support/Code,false
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.callintelligenced/com.apple.e5rt.e5bundlecache,/Users/yaniv/Library/Caches/com.apple.callintelligenced,false
