app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Google Chrome,com.google.Chrome,support/container,7.8 GiB,8228948,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Google/Chrome,
Google Chrome Canary,com.google.Chrome.canary,support/container,4.5 GiB,4669212,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Google/Chrome Canary,
Google Chrome,com.google.Chrome,cache-like,3.2 GiB,3375620,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Google/Chrome,
Rancher Desktop,io.rancherdesktop.app,support/container,2.3 GiB,2383720,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/rancher-desktop,
Rancher Desktop,io.rancherdesktop.app,support/container,2.3 GiB,2383720,app-name exact,/Users/yaniv/Library/Application Support/Rancher-Desktop,
Arc,company.thebrowser.Browser,cache-like,1.4 GiB,1456260,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Arc,
Brave Browser,com.brave.Browser,support/container,1.3 GiB,1402588,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser,
Microsoft Edge,com.microsoft.edgemac,support/container,1.2 GiB,1292856,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Microsoft Edge,
Microsoft Edge,com.microsoft.edgemac,support/container,1.1 GiB,1162420,app-name exact,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like-inside-support,898.5 MiB,920104,cache-like descendant,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs,
Codex,com.openai.codex,cache-like,792.0 MiB,811016,bundle-id cache,/Users/yaniv/Library/Caches/com.openai.codex,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like,671.7 MiB,687804,bundle-id updater cache,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt,
Comet,ai.perplexity.comet,support/container,643.4 MiB,658892,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Comet,
Code,com.microsoft.VSCode,cache-like,623.9 MiB,638924,bundle-id updater cache,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt,
Arc,company.thebrowser.Browser,support/container,417.9 MiB,427952,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Arc,
Microsoft Edge,com.microsoft.edgemac,cache-like,398.8 MiB,408340,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Microsoft Edge,
Firefox,org.mozilla.firefox,cache-like,394.3 MiB,403784,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Firefox,
Firefox,org.mozilla.firefox,cache-like,394.3 MiB,403784,app-name exact,/Users/yaniv/Library/Caches/firefox,
Code,com.microsoft.VSCode,cache-like-inside-support,372.2 MiB,381112,cache-like descendant,/Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs,
