app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related,total_related_kb,candidate_count,ambiguous_path_count,ambiguous_paths,path,matched_library_paths
Google Chrome,com.google.Chrome,1.3 GiB,1406212,4.9 GiB,5124192,6.5 GiB,6842352,11.4 GiB,11966544,2,0,,/Applications/Google Chrome.app,/Users/yaniv/Library/Application Support/Google/Chrome; /Users/yaniv/Library/Caches/Google/Chrome; /Users/yaniv/Library/Application Support/Google/Chrome/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Google/Chrome/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome/extensions_crx_cache; +42 more
Rancher Desktop,io.rancherdesktop.app,1.4 GiB,1510808,401.7 MiB,411356,4.5 GiB,4767576,4.9 GiB,5178932,10,0,,/Applications/Rancher Desktop.app,/Users/yaniv/Library/Application Support/Rancher-Desktop; /Users/yaniv/Library/Application Support/rancher-desktop; /Users/yaniv/Library/Caches/Rancher-Desktop; /Users/yaniv/Library/Caches/rancher-desktop; /Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Cache; /Users/yaniv/Library/Application Support/rancher-desktop/electron/Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/GPUCache; /Users/yaniv/Library/Application Support/Rancher-Desktop/electron/Code Cache; +20 more
Google Chrome Canary,com.google.Chrome.canary,2.0 GiB,2091784,156.5 MiB,160228,4.4 GiB,4660648,4.6 GiB,4820876,2,0,,/Applications/Google Chrome Canary.app,/Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/component_crx_cache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/extensions_crx_cache; /Users/yaniv/Library/Caches/Google/Chrome Canary; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/GrShaderCache; /Users/yaniv/Library/Application Support/Google/Chrome Canary/ShaderCache; +9 more
Microsoft Edge,com.microsoft.edgemac,1.0 GiB,1091760,1.2 GiB,1288804,2.0 GiB,2110980,3.2 GiB,3399784,6,0,,/Applications/Microsoft Edge.app,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater; /Users/yaniv/Library/Application Support/Microsoft Edge; /Users/yaniv/Library/Caches/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater/crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/12/CacheStorage; /Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache; /Users/yaniv/Library/Application Support/Microsoft Edge/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Microsoft Edge/extensions_crx_cache; +17 more
Arc,company.thebrowser.Browser,824.3 MiB,844056,1.7 GiB,1776252,181.3 MiB,185608,1.9 GiB,1961860,6,0,,/Applications/Arc.app,/Users/yaniv/Library/Caches/Arc; /Users/yaniv/Library/Application Support/Arc/User Data/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Arc; /Users/yaniv/Library/Application Support/Arc/User Data/component_crx_cache; /Users/yaniv/Library/Application Support/Arc/User Data/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Arc/User Data/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Arc/User Data/GrShaderCache; /Users/yaniv/Library/Application Support/Arc/User Data/extensions_crx_cache; +13 more
Code - Insiders,com.microsoft.VSCodeInsiders,622.2 MiB,637108,1.6 GiB,1675044,140.2 MiB,143604,1.7 GiB,1818648,4,0,,/Applications/Visual Studio Code - Insiders.app,/Users/yaniv/Library/Application Support/Code - Insiders/CachedExtensionVSIXs; /Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt; /Users/yaniv/Library/Application Support/Code - Insiders; /Users/yaniv/Library/Application Support/Code - Insiders/Cache; /Users/yaniv/Library/Application Support/Code - Insiders/CachedData; /Users/yaniv/Library/Application Support/Code - Insiders/WebStorage/2/CacheStorage; /Users/yaniv/Library/Application Support/Code - Insiders/GPUCache; /Users/yaniv/Library/Application Support/Code - Insiders/WebStorage/1/CacheStorage; +11 more
Brave Browser,com.brave.Browser,385.2 MiB,394484,417.9 MiB,427924,1.3 GiB,1313012,1.7 GiB,1740936,4,0,,/Applications/Brave Browser.app,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/extensions_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/component_crx_cache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/Profile 1/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser/GrShaderCache; +18 more
Code,com.microsoft.VSCode,624.8 MiB,639764,1.3 GiB,1346628,19.8 MiB,20268,1.3 GiB,1366896,4,0,,/Applications/Visual Studio Code.app,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt; /Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs; /Users/yaniv/Library/Application Support/Code/Cache; /Users/yaniv/Library/Application Support/Code/CachedData; /Users/yaniv/Library/Application Support/Code/WebStorage/5/CacheStorage; /Users/yaniv/Library/Application Support/Code; /Users/yaniv/Library/Application Support/Code/WebStorage/6/CacheStorage; /Users/yaniv/Library/Application Support/Code/GPUCache; +15 more
Firefox,org.mozilla.firefox,477.2 MiB,488616,788.7 MiB,807672,152.1 MiB,155768,940.9 MiB,963440,4,0,,/Applications/Firefox.app,/Users/yaniv/Library/Caches/Firefox; /Users/yaniv/Library/Caches/firefox; /Users/yaniv/Library/Application Support/Firefox; /Users/yaniv/Library/Application Support/firefox; /Users/yaniv/Library/Application Support/Firefox/Crash Reports; /Users/yaniv/Library/Application Support/firefox/Crash Reports
Comet,ai.perplexity.comet,0 B,0,348.2 MiB,356592,581.9 MiB,595844,930.1 MiB,952436,2,0,,/Applications/Comet.app,/Users/yaniv/Library/Application Support/Comet; /Users/yaniv/Library/Caches/Comet; /Users/yaniv/Library/Application Support/Comet/extensions_crx_cache; /Users/yaniv/Library/Application Support/Comet/component_crx_cache; /Users/yaniv/Library/Application Support/Comet/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Comet/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/Comet/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Comet/Crashpad; +6 more
Codex,com.openai.codex,790.7 MiB,809688,800.1 MiB,819292,888.0 KiB,888,801.0 MiB,820180,4,0,,/Applications/Codex.app,/Users/yaniv/Library/Caches/com.openai.codex; /Users/yaniv/Library/Application Support/Codex/Cache; /Users/yaniv/Library/Application Support/Codex; /Users/yaniv/Library/Application Support/Codex/GPUCache; /Users/yaniv/Library/Application Support/Codex/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Codex/DawnWebGPUCache; /Users/yaniv/Library/HTTPStorages/com.openai.codex; /Users/yaniv/Library/Logs/com.openai.codex; +3 more
Dia,company.thebrowser.dia,1.2 GiB,1293756,265.0 MiB,271344,94.6 MiB,96844,359.6 MiB,368188,5,0,,/Applications/Dia.app,/Users/yaniv/Library/Caches/company.thebrowser.dia; /Users/yaniv/Library/Application Support/Dia; /Users/yaniv/Library/Application Support/Dia/User Data/component_crx_cache; /Users/yaniv/Library/Caches/Dia; /Users/yaniv/Library/Application Support/Dia/User Data/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/Dia/User Data/GraphiteDawnCache; /Users/yaniv/Library/Application Support/Dia/User Data/GrShaderCache; /Users/yaniv/Library/Application Support/Dia/User Data/Default/Service Worker/ScriptCache; +9 more
zoom.us,us.zoom.xos,772.3 MiB,790880,12.3 MiB,12596,331.1 MiB,338996,343.4 MiB,351592,5,0,,/Applications/zoom.us.app,/Users/yaniv/Library/Application Support/zoom.us; /Users/yaniv/Library/Caches/us.zoom.xos; /Users/yaniv/Library/Logs/zoom.us; /Users/yaniv/Library/WebKit/us.zoom.xos; /Users/yaniv/Library/HTTPStorages/us.zoom.xos
Opera,com.operasoftware.Opera,600.3 MiB,614664,221.3 MiB,226624,111.0 MiB,113704,332.4 MiB,340328,3,0,,/Applications/Opera.app,/Users/yaniv/Library/Caches/com.operasoftware.Opera; /Users/yaniv/Library/Application Support/com.operasoftware.Opera; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/Service Worker/CacheStorage; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/component_crx_cache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/Service Worker/ScriptCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/GraphiteDawnCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/GrShaderCache; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/GPUCache; +6 more
