kind,size,size_kb,root,depth,path,nested_under,rollup_parent
support/container,15.5 GiB,16204448,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Google,,true
support/container,12.6 GiB,13197080,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/Chrome,/Users/yaniv/Library/Application Support/Google,false
support/container,11.0 GiB,11490696,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.docker.docker,,false
support/container,5.8 GiB,6044636,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/MacWhisper,,true
support/container,5.8 GiB,6044592,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/MacWhisper/models,/Users/yaniv/Library/Application Support/MacWhisper,false
cache-like,4.4 GiB,4584948,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Google,,true
support/container,4.0 GiB,4198908,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/F98DF0E3-829E-4D03-BEAF-A6D6ACD38F34,,false
support/container,3.8 GiB,3948196,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Comet,,true
cache-like,3.6 GiB,3809940,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Google/Chrome,/Users/yaniv/Library/Caches/Google,false
support/container,3.5 GiB,3682308,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Microsoft,,true
support/container,3.4 GiB,3587696,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/6N38VWS5BX.ru.keepcoder.Telegram,,false
support/container,3.4 GiB,3584160,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Comet/Default,/Users/yaniv/Library/Application Support/Comet,false
support/container,3.0 GiB,3191408,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Code,,true
cache-like,2.3 GiB,2447120,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.operasoftware.Opera,,true
support/container,2.3 GiB,2395216,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.docker.install,,true
support/container,2.3 GiB,2395216,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/com.docker.install/in_progress,/Users/yaniv/Library/Application Support/com.docker.install,false
cache-like,2.2 GiB,2343552,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.spotify.client,,true
support/container,2.2 GiB,2274864,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft/Teams,/Users/yaniv/Library/Application Support/Microsoft,false
cache-like,1.9 GiB,2008928,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.openai.atlas,,true
cache-like,1.9 GiB,1961708,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/pip,,true
cache-like,1.7 GiB,1792440,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.operasoftware.Opera/Default,/Users/yaniv/Library/Caches/com.operasoftware.Opera,false
cache-like,1.7 GiB,1748868,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Microsoft Edge,,true
cache-like,1.7 GiB,1748868,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Microsoft Edge/Default,/Users/yaniv/Library/Caches/Microsoft Edge,false
cache-like,1.6 GiB,1696380,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.openai.atlas/browser-data,/Users/yaniv/Library/Caches/com.openai.atlas,false
cache-like,1.6 GiB,1679268,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Arc,,true
cache-like,1.6 GiB,1668644,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Arc/User Data,/Users/yaniv/Library/Caches/Arc,false
support/container,1.6 GiB,1657084,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/243LU875E5.groups.com.apple.podcasts,,false
support/container,1.5 GiB,1545308,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/GoogleUpdater,/Users/yaniv/Library/Application Support/Google,false
support/container,1.5 GiB,1533704,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Code - Insiders,,true
support/container,1.5 GiB,1520856,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.tinyspeck.slackmacgap,,false
cache-like,1.4 GiB,1497256,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Homebrew,,true
support/container,1.4 GiB,1462160,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Google/Chrome Canary,/Users/yaniv/Library/Application Support/Google,false
cache-like,1.4 GiB,1428084,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs,/Users/yaniv/Library/Application Support/Code,false
support/container,1.3 GiB,1407424,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater,/Users/yaniv/Library/Application Support/Microsoft,false
cache-like,1.3 GiB,1401572,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Homebrew/downloads,/Users/yaniv/Library/Caches/Homebrew,false
support/container,1.3 GiB,1329616,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Microsoft Edge,,true
support/container,1.1 GiB,1179016,/Users/yaniv/Library/Group Containers,1,/Users/yaniv/Library/Group Containers/UBF8T346G9.Office,,false
support/container,1.1 GiB,1125340,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/Arc,,true
support/container,1.1 GiB,1120632,/Users/yaniv/Library/Application Support,1,/Users/yaniv/Library/Application Support/com.operasoftware.Opera,,true
support/container,1.1 GiB,1110432,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Arc/User Data,/Users/yaniv/Library/Application Support/Arc,false
cache-like,1.1 GiB,1107788,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Firefox,,true
cache-like,1.1 GiB,1107788,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Firefox/Profiles,/Users/yaniv/Library/Caches/Firefox,false
cache-like,960.8 MiB,983900,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/Comet,,true
cache-like,960.8 MiB,983900,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/Comet/Default,/Users/yaniv/Library/Caches/Comet,false
cache-like,959.0 MiB,982044,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.spotify.client/Default,/Users/yaniv/Library/Caches/com.spotify.client,false
cache-like,949.8 MiB,972560,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/JetBrains,,true
cache-like,943.2 MiB,965832,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/pip/http,/Users/yaniv/Library/Caches/pip,false
cache-like,905.8 MiB,927552,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/pip/http-v2,/Users/yaniv/Library/Caches/pip,false
support/container,829.7 MiB,849628,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/Default,/Users/yaniv/Library/Application Support/Microsoft Edge,false
cache-like,821.8 MiB,841540,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/BraveSoftware,,true
cache-like,821.8 MiB,841540,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser,/Users/yaniv/Library/Caches/BraveSoftware,false
cache-like,821.3 MiB,840996,/Users/yaniv/Library/Caches,1,/Users/yaniv/Library/Caches/com.apple.python,,true
