app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
Docker,com.docker.docker,support/container,11.0 GiB,11490692,bundle-id container,/Users/yaniv/Library/Containers/com.docker.docker,
Google Chrome,com.google.Chrome,support/container,8.2 GiB,8619600,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Google/Chrome,
MacWhisper,com.goodsnooze.MacWhisper,support/container,5.8 GiB,6044636,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/MacWhisper,MacWhisper Pro
MacWhisper Pro,com.goodsnooze.MacWhisper,support/container,5.8 GiB,6044636,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/MacWhisper,MacWhisper
Google Chrome,com.google.Chrome,cache-like,3.6 GiB,3809940,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Google/Chrome,
Comet,ai.perplexity.comet,support/container,3.3 GiB,3511608,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/Comet,
Google Chrome,com.google.Chrome,cache-like-inside-support,3.0 GiB,3144376,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/Service Worker/CacheStorage,
Opera,com.operasoftware.Opera,cache-like,2.3 GiB,2447120,bundle-id cache,/Users/yaniv/Library/Caches/com.operasoftware.Opera,
Spotify,com.spotify.client,cache-like,2.2 GiB,2343552,bundle-id cache,/Users/yaniv/Library/Caches/com.spotify.client,
ChatGPT Atlas,com.openai.atlas,cache-like,1.9 GiB,2008928,bundle-id cache,/Users/yaniv/Library/Caches/com.openai.atlas,
Microsoft Teams classic,com.microsoft.teams,cache-like-inside-support,1.8 GiB,1870592,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft/Teams/Service Worker/CacheStorage,
Microsoft Edge,com.microsoft.edgemac,cache-like,1.7 GiB,1748868,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Microsoft Edge,
Arc,company.thebrowser.Browser,cache-like,1.6 GiB,1679268,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Arc,
Code,com.microsoft.VSCode,cache-like-inside-support,1.4 GiB,1428084,cache-like descendant,/Users/yaniv/Library/Application Support/Code/CachedExtensionVSIXs,
Microsoft Edge,com.microsoft.edgemac,support/container,1.1 GiB,1161648,app-name exact,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater,
Firefox,org.mozilla.firefox,cache-like,1.1 GiB,1107788,app-name exact,/Users/yaniv/Library/Caches/firefox,
Firefox,org.mozilla.firefox,cache-like,1.1 GiB,1107788,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Firefox,
Comet,ai.perplexity.comet,cache-like,960.8 MiB,983900,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Comet,
Slack,com.tinyspeck.slackmacgap,cache-like-inside-support,913.8 MiB,935716,cache-like descendant,/Users/yaniv/Library/Containers/com.tinyspeck.slackmacgap/Data/Library/Application Support/Slack/Cache,
Brave Browser,com.brave.Browser,cache-like,821.8 MiB,841540,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser,
Google Chrome Canary,com.google.Chrome.canary,cache-like,756.8 MiB,774952,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Google/Chrome Canary,
